Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
The Station Agent,2003,"Comedy, Drama",89 min,7.6,,Mario Kramer,Non-binary,,1953.0,10.0
Mad Max 2,1981,,96 min,7.6,,Joshua Young,Female,Guyana,1968.0,19.0
The Lost Weekend,1945,"Drama, Film-Noir",101 min,7.9,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Antonio Hogan,Non-binary,Chile,1958.0,7.0
Paths of Glory,1957,"Drama, War",88 min,8.4,,Laurie Stephens,Female,Saint Martin,1984.0,0.0
Soul,2020,"Animation, Adventure, Comedy",100 min,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Kelly Newman,Male,North Macedonia,1944.0,
Whiplash,2014,"Drama, Music",106 min,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Cheryl Hogan,Male,British Virgin Islands,1990.0,1.0
Crash,2004,"Crime, Drama, Thriller",112 min,7.7,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Catherine Jackson,Non-binary,Nauru,1990.0,15.0
Hable con ella,2002,"Drama, Mystery, Romance",112 min,7.9,Two men share an odd friendship while they care for two women who are both in deep comas.,Katelyn Weaver,Female,Svalbard & Jan Mayen Islands,1966.0,16.0
The Graduate,1967,"Comedy, Drama, Romance",106 min,8.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,William Morales,Non-binary,Bouvet Island (Bouvetoya),1983.0,
The Best Years of Our Lives,1946,"Drama, Romance, War",170 min,8.0,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,,Non-binary,Ireland,,18.0
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",127 min,8.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,,Female,,1948.0,7.0
Miracle in cell NO.7,2019,Drama,132 min,8.3,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Robert Wallace,,Greenland,,5.0
Guardians of the Galaxy,2014,,121 min,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,,,Haiti,1959.0,3.0
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Brianna Woodward,Non-binary,Turkey,1955.0,7.0
The Adventures of Robin Hood,1938,"Action, Adventure, Romance",102 min,7.9,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",,Non-binary,South Georgia and the South Sandwich Islands,1956.0,7.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama",115 min,8.0,,Alexandria Ayala,Non-binary,Malaysia,1982.0,
Kung fu,2004,"Action, Comedy, Fantasy",99 min,,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Stephanie Cordova,Male,Panama,1949.0,
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",111 min,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Diane Huber,Male,Chad,1985.0,1.0
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",179 min,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Ashley Hall,Male,Mozambique,1967.0,
La Grande Illusion,1937,"Drama, War",113 min,8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Dawn Paul,Non-binary,,1990.0,18.0
The Big Short,2015,"Biography, Comedy, Drama",130 min,7.8,,Amy Adams,,North Macedonia,1964.0,12.0
Festen,1998,Drama,105 min,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Dr. Jordan Bernard,Male,,1944.0,11.0
Fitzcarraldo,1982,"Adventure, Drama",158 min,,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Kenneth Gilbert,Non-binary,Maldives,1968.0,5.0
Andaz Apna Apna,1994,,,8.2,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Alex Hunt,Male,Taiwan,1978.0,5.0
First Blood,1982,"Action, Adventure",93 min,7.7,,Taylor Steele,Male,Zimbabwe,1970.0,7.0
The Jungle Book,1967,"Animation, Adventure, Family",78 min,7.6,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Michael Ochoa,Male,,1977.0,18.0
Todo sobre mi madre,1999,Drama,,7.8,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Matthew Brown,Female,New Caledonia,1965.0,10.0
Philadelphia,1993,Drama,125 min,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",,Female,Kenya,1974.0,11.0
The Irishman,2019,"Biography, Crime, Drama",209 min,,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",,Non-binary,Czech Republic,1972.0,18.0
Blood Simple,1984,"Crime, Drama, Thriller",99 min,7.6,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",Mario Arnold,Female,,1984.0,
Gegen die Wand,2004,,121 min,7.9,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",Roberto Walker,Male,Ecuador,,11.0
The Last Emperor,1987,"Biography, Drama, History",163 min,7.7,The story of the final Emperor of China.,Angel Miller,Non-binary,Saint Martin,1974.0,18.0
Catch Me If You Can,2002,"Biography, Crime, Drama",141 min,8.1,,Jim Watts,Male,Bolivia,1942.0,18.0
King Kong,1933,"Adventure, Horror, Sci-Fi",100 min,7.9,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Taylor Jones,Male,Syrian Arab Republic,1990.0,4.0
Fantasia,1940,"Animation, Family, Fantasy",125 min,7.7,,Jacob Shaffer,,,1963.0,18.0
The Philadelphia Story,1940,"Comedy, Romance",112 min,7.9,,Alex Phillips,Male,Slovakia (Slovak Republic),1984.0,6.0
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,,Rachel Reynolds,Female,Iran,1974.0,15.0
Rashômon,1950,,88 min,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Julie Hunt,Non-binary,Belgium,,17.0
Man on Fire,2004,"Action, Crime, Drama",,7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Jamie Smith,Female,Monaco,1980.0,9.0
Midnight Cowboy,1969,Drama,,,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",Mark Myers,Female,Micronesia,1945.0,5.0
Jojo Rabbit,2019,"Comedy, Drama, War",,7.9,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,,Non-binary,Norway,1946.0,15.0
The Goonies,1985,"Adventure, Comedy, Family",114 min,,,Maureen Ellison,Male,Sierra Leone,1989.0,1.0
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",115 min,7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",Alexandra Edwards,Female,,1955.0,2.0
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",117 min,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Lucas Ray,Female,French Polynesia,1982.0,1.0
Nightcrawler,2014,"Crime, Drama, Thriller",117 min,7.9,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",Gregory Beck,Female,Lithuania,1982.0,7.0
The Big Sleep,1946,"Crime, Film-Noir, Mystery",114 min,7.9,,Sean Griffith,Non-binary,Lesotho,1962.0,19.0
The Dirty Dozen,1967,"Action, Adventure, War",150 min,7.7,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",James Holloway,,Liechtenstein,1950.0,7.0
Beasts of No Nation,2015,"Drama, War",137 min,7.7,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Lisa Zimmerman,,Canada,,0.0
The Big Lebowski,1998,"Comedy, Crime, Sport",,8.1,,Sara Malone,Non-binary,,1979.0,16.0
Interstellar,2014,"Adventure, Drama, Sci-Fi",169 min,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,,Non-binary,Malta,1942.0,15.0
Mr. Smith Goes to Washington,1939,"Comedy, Drama",129 min,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Tonya Hanson,Male,Serbia,1976.0,0.0
La règle du jeu,1939,,110 min,8.0,,Carolyn Scott,Non-binary,Solomon Islands,1981.0,10.0
Hera Pheri,2000,"Action, Comedy, Crime",156 min,8.2,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Rebecca Mitchell,Non-binary,Indonesia,1983.0,19.0
The Elephant Man,1980,"Biography, Drama",124 min,,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Brittany Mills,Non-binary,Russian Federation,1981.0,
The Thin Red Line,1998,,170 min,7.6,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Charles Alexander,Male,Montserrat,1965.0,4.0
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126 min,8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Raymond Salas,Male,Comoros,1988.0,10.0
The Straight Story,1999,"Biography, Drama",112 min,8.0,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,Taylor Waller,Female,Burkina Faso,,5.0
Being John Malkovich,1999,"Comedy, Drama, Fantasy",,7.7,,Julie Silva,Male,Namibia,,
Being There,1979,,130 min,8.0,,Andrew Pacheco,Male,Kuwait,,1.0
Boyhood,2014,Drama,165 min,,"The life of Mason, from early childhood to his arrival at college.",Aaron Cordova,Female,Belgium,1946.0,0.0
The Revenant,2015,"Action, Adventure, Drama",156 min,8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Denise Bowen,Female,Liberia,1940.0,4.0
Joyeux Noël,2005,"Drama, History, Music",116 min,7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",James Benson,Male,Belarus,,18.0
White Heat,1949,"Action, Crime, Drama",114 min,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Pamela Galloway DVM,,Croatia,1956.0,4.0
The Remains of the Day,1993,"Drama, Romance",,,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,,Female,Northern Mariana Islands,1954.0,3.0
K.G.F: Chapter 1,2018,"Action, Drama",,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Julie Thomas,Male,Portugal,1972.0,16.0
The Fugitive,1993,"Action, Crime, Drama",130 min,7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",John Sutton,,United States Minor Outlying Islands,1987.0,11.0
The Quiet Man,1952,"Comedy, Drama, Romance",129 min,7.7,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Monique Barajas,Female,,1973.0,
Good Will Hunting,1997,,126 min,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Mary Russell,Non-binary,Kyrgyz Republic,1975.0,11.0
Mar adentro,2014,"Biography, Drama",126 min,8.0,,Heather Vaughan,Non-binary,Bosnia and Herzegovina,1977.0,12.0
Drishyam,2013,"Crime, Drama, Thriller",160 min,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Teresa Clark,Male,South Africa,1984.0,18.0
The Wizard of Oz,1939,"Adventure, Family, Fantasy",102 min,8.0,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,Kevin Tanner,Female,Cyprus,1976.0,3.0
Zootopia,2016,"Animation, Adventure, Comedy",108 min,8.0,,Mary Robertson,Female,Mauritania,1954.0,
Barfi!,2012,"Comedy, Drama, Romance",151 min,,,Kristina Cantu,Female,Ukraine,1968.0,9.0
Marriage Story,2019,,137 min,7.9,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Amanda Jarvis,Non-binary,Costa Rica,1963.0,
Ikiru,1952,Drama,143 min,,,Bruce Collins,Non-binary,Paraguay,1965.0,4.0
The Fighter,2010,"Biography, Drama, Sport",116 min,7.8,,Cynthia Potts,,Eritrea,1969.0,5.0
Soorarai Pottru,2020,Drama,153 min,,,Danny Taylor,Female,Japan,1989.0,13.0
Wait Until Dark,1967,Thriller,108 min,7.8,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Jeffrey Casey,,Barbados,1983.0,
Once Upon a Time in America,1984,"Crime, Drama",,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Donald Bailey,Non-binary,,1977.0,
Aliens,1986,"Action, Adventure, Sci-Fi",137 min,8.3,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",,Female,Malawi,1984.0,20.0
Kaze no tani no Naushika,1984,,117 min,8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Kevin Collins,Female,Congo,,10.0
Zulu,1964,"Drama, History, War",138 min,7.7,,Matthew Castro,,Cape Verde,1949.0,5.0
La dolce vita,1960,,174 min,8.0,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,Rachael Burnett,Male,Bahamas,1962.0,17.0
Braveheart,1995,"Biography, Drama, History",178 min,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Jared Martin,Female,Sao Tome and Principe,1941.0,19.0
